name,line,season no.,episode no.,episode name
Rick,"Learning to fly this thing, Morty, it's gonna be really liberating. Y-Y-You’re gonna be free to go on all kinds of errands for me.",2,2,Mortynight Run
Morty,Cool.,2,2,Mortynight Run
Rick," See that planet right there? Don’t fly too close to that planet. Someone’ll come out and try to wash your windshield.  Hold on.  Yup. Yeah, I have it. Where do you wanna meet? Alright, cool.  Alright Morty, lesson’s over. We got some business to attend to a few lightminutes south of here.",2,2,Mortynight Run
Jerry,"Oh, you still use ‘south’ in space?",2,2,Mortynight Run
Rick," WHOA! Jesus, Jerry, what the hell are you doing here?!",2,2,Mortynight Run
Jerry,What are you talking about? We agreed a boy’s father should be present when he’s learning to drive.,2,2,Mortynight Run
Rick,"I guess I remember that.  Wow. And you’ve just been back there this whole time? Amazing. Well we don’t have time to take him to Earth, Morty. Head for 3124-917.",2,2,Mortynight Run
Jerry, Cool! Looks like I’m comin’ along for an adventure!,2,2,Mortynight Run
Rick,Yep.,2,2,Mortynight Run
Morty,This is where we’re going?,2,2,Mortynight Run
Rick,"Nope.  This is. You can park in a handicapped spot, Morty. Anything with less than eight limbs is considered disabled here.",2,2,Mortynight Run
Jerry-Sitter,Well look at this fella.  Aren’t you handsome?,2,2,Mortynight Run
Jerry,Thank you! I’m Jerry. ,2,2,Mortynight Run
Jerry-Sitter," Oh, I know you are. Did you come here in a spaceship?",2,2,Mortynight Run
Jerry,"I’m travelling with my son and father-in-law. Uh, wait, are they coming?",2,2,Mortynight Run
Jerry-Sitter,"Oh, they’ll be back soon.",2,2,Mortynight Run
Jerry,What?,2,2,Mortynight Run
Pajama Jerry,I don’t know how this works!,2,2,Mortynight Run
Underpants Jerry,Help me!,2,2,Mortynight Run
Jerry,What the hell?,2,2,Mortynight Run
Pajama Jerry,"I know, right?",2,2,Mortynight Run
Tuxedo Jerry," Oh, what the hell?",2,2,Mortynight Run
Jerry,"I know, right?",2,2,Mortynight Run
Morty, Jerryboree? You created a daycare for my dad?,2,2,Mortynight Run
