name,line,season no.,episode no.,episode name
Summer,"Bye, mom! Bye, dad!",1,11,Ricksy Business
Morty,Drive carefully!,1,11,Ricksy Business
Rick,"Have fun, you two.",1,11,Ricksy Business
Beth,"Yes, we will have as much fun as possible on our...  Titanic-themed getaway.",1,11,Ricksy Business
Jerry," Let's lose the 'tude, please. It's supposed to be romantic. ",1,11,Ricksy Business
Beth,"Speaking of disasters, dad, we are leaving you in charge, here.",1,11,Ricksy Business
Rick,"I know, c-can we wrap this up? Morty and I  have some synthetic laser-eels oxidizing in the garage.",1,11,Ricksy Business
Beth," Hey, don't blow me off. I am drawing a line, okay? Any damage to this house or these children when we get back, and... no more adventures with Morty. ",1,11,Ricksy Business
Morty,"Aw, geez, Rick! If my mom's the one who's saying it, then you know it's pretty serious this time.",1,11,Ricksy Business
Beth and Jerry in unison,That's right.,1,11,Ricksy Business
Jerry,Wait... What?,1,11,Ricksy Business
Rick,"Listen, you have my word as a caregiver, everything's gonna be fine. And if not, like you say, no more adventures or whatever. It's like that old song ""blomp blomp-a noop noop a-noop noop noop"". You guys know that song?  From Tiny Roger's? You never heard of it? You know, the black effeminate guy from the '50s?",1,11,Ricksy Business
Rick,"No-nobody?  A-all right, whatever. Look, who cares? Just go on your stupid trip.",1,11,Ricksy Business
Jerry, Not one thing out of place.,1,11,Ricksy Business
Jerry,Not a single thing.,1,11,Ricksy Business
Summer," Well, we're past the point of no return. I'm going to have a party.",1,11,Ricksy Business
Summer, I found Jello.,1,11,Ricksy Business
Summer,"Can you sneak your mom's vodka? Yes, she does. I saw it in your laundry room.  Listen, you can't both be in denial about it. Okay, bye. ",1,11,Ricksy Business
Morty,"Summer, you can't throw a party! Remember what mom said?",1,11,Ricksy Business
Summer,"Yeah, if anything gets messed up, you and grandpa Rick get punished. I'm only a human being, Morty.",1,11,Ricksy Business
Morty,"Rick, tell Summer she can't have a party!",1,11,Ricksy Business
Rick," Uh, Summer, you can't have a party.",1,11,Ricksy Business
Summer,Ugh.,1,11,Ricksy Business
Rick," Because  I'm having a party, b-I-I-I-itch! ",1,11,Ricksy Business
Morty,"Oh, what?! Rick, you can't!",1,11,Ricksy Business
Summer,What do you mean you're having a party?  Are some glip glops from the third dimension going to come over and play cards or something?,1,11,Ricksy Business
Rick,"""Glip glop?"" You're lucky a Traflorkian doesn't hear you say that.",1,11,Ricksy Business
Summer,Is that like their n-word?,1,11,Ricksy Business
Rick,"It's like the n-word and the c-word had a baby, and it was raised by all the bad words for Jews. ",1,11,Ricksy Business
Morty,"Listen, I think the three of us could just, you know, have a nice time, like just hanging out, and, you know, doing a little bonding and --",1,11,Ricksy Business
Summer, screw that. This is my chance to gain some footing with the cool kids.,1,11,Ricksy Business
Rick,"That's why you party? Boy, you really are 17.",1,11,Ricksy Business
Summer,Why do you party?,1,11,Ricksy Business
Rick,"To get  wr-wriggedy wriggedy wrecked, son!",1,11,Ricksy Business
Summer,Just keep your sci-fi friends away from my awesome ones.,1,11,Ricksy Business
Rick,"Yeah, and you keep your awesome friends away from my canapes. ",1,11,Ricksy Business
Tour Guide,"After dinner, Titanic 2 will attach to the rail system near our replica iceberg, and the hydraulics encased in these tubes will execute a controlled sink into the icy depths.",1,11,Ricksy Business
Jerry,A rail system seems archaic for an attraction this impressive. Are you sure the ship will sink?,1,11,Ricksy Business
Tour Guide,"I can assure you the ship will sink, as it has a thousand times before. It is un-unsinkable.",1,11,Ricksy Business
Jerry," Ooh! Look, it's the line for the bow!",1,11,Ricksy Business
Beth," Jerry, I'd love to just kick back with a Margarita and read.",1,11,Ricksy Business
Beth,"Do you mind if I skip the whole ""king of the world"" bit?",1,11,Ricksy Business
Jerry,"Well, it's not the ""king of the world"" bit. That's Jack and fabrizio.  This is where rose says, ""I'm flying, Jack!"" But whatever. I can be the only one to do it alone.",1,11,Ricksy Business
Beth," Well, what about her?",1,11,Ricksy Business
Beth,"Excuse me, ma'am. Would you like to take my place in line?",1,11,Ricksy Business
Lucy," I, uh -- I could get into trouble.",1,11,Ricksy Business
Beth, We won't tell.,1,11,Ricksy Business
Jerry,So... You're a Titanic fanatic?,1,11,Ricksy Business
Lucy,"Oh, yes. I've worked here since it opened, but I've never been able to participate.",1,11,Ricksy Business
