name,line,season no.,episode no.,episode name
Rick,Run!,1,5,Meeseeks and Destroy
"Jerry, Beth, and Summer",*incoherent zombie noises*,1,5,Meeseeks and Destroy
Rick,"Morty, do it! Hit the button now!",1,5,Meeseeks and Destroy
Morty,"I can’t do it, Rick! They’re my parents and sister!",1,5,Meeseeks and Destroy
Rick,"*holding off the clones* Morty, I already told you, it’s not your family! They’re clones from an alternate reality possessed by demonic alien spirits from another dimension’s future! Do you need a mnemonic device or something? Just hit the button already!",1,5,Meeseeks and Destroy
Beth,"Morty, please. I love you, sweetheart.",1,5,Meeseeks and Destroy
Morty,Ohhhh…,1,5,Meeseeks and Destroy
Rick,"Good work, Morty.",1,5,Meeseeks and Destroy
Rick,"*holding up the device and smiling* Y-You know, these demonic alien spirits are really valuable!",1,5,Meeseeks and Destroy
Rick,"You okay, Morty? Told you not to trust that tuna.",1,5,Meeseeks and Destroy
Morty,I just killed my family! I don’t care what they were!,1,5,Meeseeks and Destroy
Rick,"I dunno, Morty. Some people would pay top dollar for that kinda breakthrough.",1,5,Meeseeks and Destroy
Morty,"Y-You know what, Rick? That’s it! I-I’m done with these…insane adventures! That was really traumatizing! I quit! I’m out!",1,5,Meeseeks and Destroy
Rick,"Whoa whoa whoa, *grabs Morty’s shoulder, stopping him* come on, Morty! D-D-Don’t be like that! The universe is a crazy and chaotic place!",1,5,Meeseeks and Destroy
Morty,*pushes Rick’s hands away* You’re the one that’s crazy and chaotic! Adventures are supposed to be simple! And fun!,1,5,Meeseeks and Destroy
Rick,"Oh yeah, Morty. Yeah, t-t-that- that’s real easy to say from the sidekick position. But—But, uh, h-how about next time you be in charge, then we’ll talk about how simple and fun it is.",1,5,Meeseeks and Destroy
Morty,*suddenly excited* Seriously Rick?! Y-You’ll let me call the shots?,1,5,Meeseeks and Destroy
Rick,"Okay, fine. But let’s make it interesting, Morty. I-I-If your adventure sucks, and we bail halfway through it, you lose the right to bitch about all future adventures. Plus, you have to do my laundry for a month.",1,5,Meeseeks and Destroy
Morty,"Okay, all right, tough guy! But if my adventure's good... I get to be in charge of every third adventure!",1,5,Meeseeks and Destroy
Rick,Every 10th.,1,5,Meeseeks and Destroy
Morty,"Deal. All right. Well, come on, let's get going.",1,5,Meeseeks and Destroy
Beth,"Dad, the dishwasher's doing that thing again.",1,5,Meeseeks and Destroy
Rick,Washing dishes?,1,5,Meeseeks and Destroy
Beth,No. The opposite. Can you fix it?,1,5,Meeseeks and Destroy
Summer,"Grandpa Rick, can you help me with my science homework?",1,5,Meeseeks and Destroy
Rick,Yeah just don't do it.,1,5,Meeseeks and Destroy
Summer,Grandpa!,1,5,Meeseeks and Destroy
Jerry,"Hey, Rick, you got some kind of hand-shaped device that can open this mayonnaise jar?",1,5,Meeseeks and Destroy
Rick,"Wow. Hat trick. All right, Morty, let's put a pin in this. I got to help your pathetic family.",1,5,Meeseeks and Destroy
Morty,"Oh, that sounds like something a chicken would say. Bawk, bawk, bawk, bawk, bawk, bawk.",1,5,Meeseeks and Destroy
Rick,"Oh, Morty, you done did it this time. It's on. I can't wait to watch your adventure lay a huge fart. As for you dingdongs... This is a Meeseeks box. Let me show you how it works. You press this.",1,5,Meeseeks and Destroy
Meeseeks,I'm Mr. Meeseeks! Look at me!,1,5,Meeseeks and Destroy
Rick,"You make a request. Mr. Meeseeks, open Jerry's stupid mayonnaise jar.",1,5,Meeseeks and Destroy
Meeseeks,"Yes, siree!",1,5,Meeseeks and Destroy
Rick,The Meeseeks fulfills the request.,1,5,Meeseeks and Destroy
Meeseeks,All done!,1,5,Meeseeks and Destroy
Jerry, Wow!,1,5,Meeseeks and Destroy
Rick,And then it stops existing.,1,5,Meeseeks and Destroy
Summer,"Oh, my God, he exploded!",1,5,Meeseeks and Destroy
Rick,"Trust me, they're fine with it. Knock yourselves out just keep your requests simple. They're not gods.",1,5,Meeseeks and Destroy
Morty,All right! Get out of here now! Everybody out of here! I got a bet to win!,1,5,Meeseeks and Destroy
Beth,So many possibilities.,1,5,Meeseeks and Destroy
Summer,My mind is racing.,1,5,Meeseeks and Destroy
Jerry,"If we're gonna use this thing, which I'm not even sure we should, we need to keep it simple.",1,5,Meeseeks and Destroy
Meeseeks,I'm Mr. Meeseeks!,1,5,Meeseeks and Destroy
Summer,I want to be popular at school!,1,5,Meeseeks and Destroy
Meeseeks,"Ooh, okay!",1,5,Meeseeks and Destroy
Jerry,"Summer, what did I just-",1,5,Meeseeks and Destroy
Meeseeks 2,"Ooh, I'm Mr. Meeseeks! Look at me!",1,5,Meeseeks and Destroy
Beth,I want I want to be a more complete woman!,1,5,Meeseeks and Destroy
Jerry,Beth!,1,5,Meeseeks and Destroy
Meeseeks 2,"Oh, yeah! Yes, ma'am!",1,5,Meeseeks and Destroy
Jerry,"You guys are doing it wrong. He said ""simple.""",1,5,Meeseeks and Destroy
Meeseeks 3,"Hey, there. I'm Mr. Meeseeks!",1,5,Meeseeks and Destroy
Jerry,"Mr. Meeseeks, I would like to take two strokes off my golf game.",1,5,Meeseeks and Destroy
Meeseeks 3,"Ooh, yeah! Can do!",1,5,Meeseeks and Destroy
Jerry,Nailed it.,1,5,Meeseeks and Destroy
Rick,"God, Morty, what a boring start to an adventure. Why didn't we just go to Kentucky?",1,5,Meeseeks and Destroy
Morty,"Rick, this is a fantasy-type world with creatures and all sorts of fantasy things. We're going on a quest, okay?",1,5,Meeseeks and Destroy
Rick,Can't wait.,1,5,Meeseeks and Destroy
Morty,Ahem. Excuse me! We are two humble heroes in search of adventure!,1,5,Meeseeks and Destroy
Rick,"Oh, my God, so embarrassing.",1,5,Meeseeks and Destroy
Villager,"At last! Two heroes! You must help us! This village is terribly poor, yet the giant that lives in the clouds above has untold treasures!",1,5,Meeseeks and Destroy
Morty,"You know what? I accept your call to adventure, good sir, kind sir. Come on, Rick. There's a giant in the clouds!",1,5,Meeseeks and Destroy
Rick,Yeah. Beginner's luck.,1,5,Meeseeks and Destroy
Meeseeks 1,"In conclusion, a friendship with Summer Smith is the most valuable and enriching experience of your young lives. I'm Mr. Meeseeks! Look at me! Thank you!",1,5,Meeseeks and Destroy
Principal Gene V.,"Uh, Mr. Meeseeks, was it? Yeah. Gene Vagina. Listen, I'm in a bit of custody thing with my ex and was wondering- - No, I'll get your info from Summer.",1,5,Meeseeks and Destroy
Beth,"I got pregnant at 17. I mean, I still put myself through veterinary school. Yes, I'm successful, but what if I hadn't...-- I'm just saying, somewhere along the way, I lost that wide-eyed girl from muskegon.",1,5,Meeseeks and Destroy
Meeseeks 2,"She's still there, Beth.",1,5,Meeseeks and Destroy
Beth,"Well, her waistline isn't.",1,5,Meeseeks and Destroy
Meeseeks 2,"Beth, having a family doesn't mean that you stop being an individual. You know the best thing you can do for people that depend on you? Be honest with them, even if it means setting them free.",1,5,Meeseeks and Destroy
Beth,You're saying I should leave Jerry.  I can't believe I'm finally having this conversation.,1,5,Meeseeks and Destroy
Waiter,More wine?,1,5,Meeseeks and Destroy
Beth,I think I've had enough.,1,5,Meeseeks and Destroy
Meeseeks 3,"Remember to square your shoulders, Jerry.",1,5,Meeseeks and Destroy
Jerry,"Yeah, yeah. I got it.",1,5,Meeseeks and Destroy
Meeseeks 3,That's okay. I'm Mr. Meeseeks! Look at me! Try again and keep your head down.,1,5,Meeseeks and Destroy
Jerry,"Okay, well, which is it? Square my shoulders or keep my head down?",1,5,Meeseeks and Destroy
Meeseeks 3,"Well, it's both. But most importantly, you got to relax.",1,5,Meeseeks and Destroy
Jerry,"You know what, Mr. Meeseeks? I don't think this is working. I give up.",1,5,Meeseeks and Destroy
Meeseeks 3,"I'm sorry, Jerry, but it doesn't work like that. I'm Mr. Meeseeks. I have to fulfill my purpose so I can go away. Look at me.",1,5,Meeseeks and Destroy
Jerry,"Well, make yourself comfortable, because I suck.",1,5,Meeseeks and Destroy
Meeseeks 3,"No, Jerry, I'm the one who SUCKS! Let me try something.",1,5,Meeseeks and Destroy
Meeseeks 4,I'm Mr. Meeseeks! Look at me!,1,5,Meeseeks and Destroy
Meeseeks 3,"Hi, Mr. Meeseeks! I'm Mr. Meeseeks! Look at me.",1,5,Meeseeks and Destroy
Meeseeks 4,Hi!,1,5,Meeseeks and Destroy
Meeseeks 3,Can you help me get two strokes off of Jerry's golf swing?,1,5,Meeseeks and Destroy
Meeseeks 4,Can do! I'm Mr. Meeseeks! Is he keeping his shoulders squared?,1,5,Meeseeks and Destroy
Meeseeks 3,"Ooh, he's trying!",1,5,Meeseeks and Destroy
Rick,"All right, Morty. We're in your stupid giant's castle. What do we do next?",1,5,Meeseeks and Destroy
Morty,"Would you just relax, Rick? All we got to do is find the treasure room, okay? It's nice and simple. You know, I'm sorry everything's going so smoothly and adventurously.",1,5,Meeseeks and Destroy
Rick,"Uh-oh, Morty. Startin' to get a little hairy. What do you want to do, boss?",1,5,Meeseeks and Destroy
Morty,"Come on, hurry. Behind this cookie jar.",1,5,Meeseeks and Destroy
