name,line,season no.,episode no.,episode name
Girl 1,"So, Jessica, I heard you broke up with Brad.",3,6,Rest and Ricklaxation
Girl 2,Who are you gonna date; now that you can date anyone?,3,6,Rest and Ricklaxation
Jessica,"I don’t know. I mean, obviously if someone special comes along. B-But I mean really special, like, nothing I’ve even remotely considered in the past.",3,6,Rest and Ricklaxation
Morty, Holyshitholyshitholyshit.,3,6,Rest and Ricklaxation
Girl 1,I want that kind of love like that docking kind of love.,3,6,Rest and Ricklaxation
Girl 2,"Oh, yeah.",3,6,Rest and Ricklaxation
Girl 1,"Like, penis in the foreskin kind of love Mm-hmm just, like, warm, just like...",3,6,Rest and Ricklaxation
Morty,Hey...  ah...,3,6,Rest and Ricklaxation
Rick,"Everybody, fuck off. Morty, I need your help. W-W-W-We We need to go on a quick adventure.",3,6,Rest and Ricklaxation
Morty,You said I could go to school today.,3,6,Rest and Ricklaxation
Rick,"That was before I needed something, Morty. There’s a plasma shard in the Abadango Cluster. A princess has it. If I get it, I’ll be awesome.",3,6,Rest and Ricklaxation
Morty,"We’ve been going non-stop, Rick. It’s not healthy. You know, these are my teenage years. I-I just found out Jessica’s single.",3,6,Rest and Ricklaxation
Rick,"Oh, that’s Wow, Morty. Wow. What an exciting life you lead.  Let’s go. In and out, 20 minutes adventure.",3,6,Rest and Ricklaxation
Morty,They’re on our tail!,3,6,Rest and Ricklaxation
Rick,"Steady, Morty. Five cetons.",3,6,Rest and Ricklaxation
Morty,Wha!,3,6,Rest and Ricklaxation
Rick,Fire!,3,6,Rest and Ricklaxation
Rick,"Pull up, Morty, pull up! Pull up!",3,6,Rest and Ricklaxation
Rick and Morty,,3,6,Rest and Ricklaxation
Rick, Fuck.,3,6,Rest and Ricklaxation
Morty,,3,6,Rest and Ricklaxation
Rick," Oh, fuck! Fuck! Ahh! Ahh!",3,6,Rest and Ricklaxation
Morty,I can’t fucking do this anymore!,3,6,Rest and Ricklaxation
Rick,That was seriously fucked up. We almost died.,3,6,Rest and Ricklaxation
Morty,So you agree?,3,6,Rest and Ricklaxation
Rick,Fuck yes! That w... T-This was insane! That was pure luck. I was not in control of that situation at all.,3,6,Rest and Ricklaxation
Morty,,3,6,Rest and Ricklaxation
Rick," Look at this, Morty. Look at my fucking hand. Look at this shit.",3,6,Rest and Ricklaxation
Morty,Why do you... Keep doing this to us?!,3,6,Rest and Ricklaxation
Rick,"I don’t know, Morty. Maybe I hate myself, maybe I think I deserve to die. I-I-I-I don’t I don’t know!",3,6,Rest and Ricklaxation
Morty,,3,6,Rest and Ricklaxation
Rick,We need a vacation.,3,6,Rest and Ricklaxation
Rick,Isn’t that something?,3,6,Rest and Ricklaxation
Morty,You were right. Best day spa in the galaxy.,3,6,Rest and Ricklaxation
Rick,"It's not even cruel, either. These things are just doing what they do in the wild. It loves swallowing stressed-out creatures for 20 minutes and then puking them up.",3,6,Rest and Ricklaxation
Morty,My whole body’s like a baby’s ass.,3,6,Rest and Ricklaxation
Alien,"Complimentary psychological detox? Removes all your cognitive toxins,  purifies your system.",3,6,Rest and Ricklaxation
Rick,"Oof, this guy on commission or something?",3,6,Rest and Ricklaxation
Morty,I don’t think. Are you on commission?,3,6,Rest and Ricklaxation
Alien,We’re not on  commission. We get  paid by the hour. There’s no incentive really-,3,6,Rest and Ricklaxation
Rick," Oh, my god. Okay, listen. W-W-W-We’ll try the machine, but but I’d like you to try something. Try swallowing the giant ball of snot that’s dangling around in the back of your throat.  It’s disgusting. Nobody wants to hear that. Ahem. Ahem! That’s what you do.",3,6,Rest and Ricklaxation
Morty,": Okay, Rick, come on. Enough.",3,6,Rest and Ricklaxation
Rick,"Wow, did you hear me bite that guy's head off? Geez, I really need to chill.",3,6,Rest and Ricklaxation
Morty,Maybe you should go through twice.,3,6,Rest and Ricklaxation
Rick,"All right, mister comedy man, you don’t have to bust my balls. You’re not helping things.",3,6,Rest and Ricklaxation
Morty,"Rick, is this thing supposed to be making this no-",3,6,Rest and Ricklaxation
Toxic Rick, Morty!,3,6,Rest and Ricklaxation
