name,line,season no.,episode no.,episode name
All, Love. Connection. Experience.,2,3,Auto Erotic Assimilation
Rick,Yeah Morty,2,3,Auto Erotic Assimilation
All," Come together. With love. connection, experience! ",2,3,Auto Erotic Assimilation
Rick,It's my favourite song,2,3,Auto Erotic Assimilation
Morty,"Hahahahaha, yeah",2,3,Auto Erotic Assimilation
Rick,"Oh yeah, distress beacon!  Yeah baby!",2,3,Auto Erotic Assimilation
Morty,You're excited about that?,2,3,Auto Erotic Assimilation
Rick,"The first rule of space travel kids, is always check out distress beacons; nine out of ten times its a ship full of dead aliens and a bunch of free shit!",2,3,Auto Erotic Assimilation
Morty and Summer,Whoa!,2,3,Auto Erotic Assimilation
Rick,"One out of ten times its a deadly trap, but I'm ready to roll those dice!",2,3,Auto Erotic Assimilation
Summer,Seems like something terrible happened here.,2,3,Auto Erotic Assimilation
Rick,"Yeah. Cha-ching. Oh yeah, if you find a room full of eggs, don't shy away from it, give one of them a shake. Those facehuggers are worth more than this ship.",2,3,Auto Erotic Assimilation
Morty,"Uh, what's that?",2,3,Auto Erotic Assimilation
Rick,This will make the cops write it up as a looting by the Korblocks.,2,3,Auto Erotic Assimilation
Summer,That's horrible!,2,3,Auto Erotic Assimilation
Rick,"I hear you man, cops are racist.",2,3,Auto Erotic Assimilation
Rick,"Oh, hey! You're alive! Thank God.",2,3,Auto Erotic Assimilation
Female alien,Can you help us? Our planet was taken over by some kind of  entity! It absorbed the minds of our people!,2,3,Auto Erotic Assimilation
Male alien 1,"We didn't notice until it was too late. The people it takes over, they look like your friends, your family, your leaders, but they're not, themselves any more; They're part of It.",2,3,Auto Erotic Assimilation
Rick,And how do you know it didn't get on the ship with you? Those two ding-dongs seem pretty calm about the whole thing.,2,3,Auto Erotic Assimilation
Male alien with glasses,"Hey! No, no- uurgh!",2,3,Auto Erotic Assimilation
Rick,Called it.,2,3,Auto Erotic Assimilation
All six aliens together,Hello Rick. Long time no see.,2,3,Auto Erotic Assimilation
Rick,Unity!?,2,3,Auto Erotic Assimilation
Morty,Rick?,2,3,Auto Erotic Assimilation
Summer,Grandpa?,2,3,Auto Erotic Assimilation
Rick,"Oh boy. Uh, these are my grandkids, Summer and Morty. Summer, Morty, this is uh, Unity. We sort of used to, uh, date.",2,3,Auto Erotic Assimilation
