name,line,season no.,episode no.,episode name
Morty,"Geez, I can't believe we found a version of Earth with a Ball Fondlers movie franchise.",2,6,The Ricks Must Be Crazy
Summer,I can't believe the things this reality considers PG-13,2,6,The Ricks Must Be Crazy
Morty,"Yeah, I'm pretty jealous.",2,6,The Ricks Must Be Crazy
Rick,"Don't be Morty, there are pros and cons to every reality, fun facts about this one; it's got giant telepathic spiders, eleven 9/11's, aaaand the best ice cream in the multiverse!",2,6,The Ricks Must Be Crazy
Summer,Shut up! ,2,6,The Ricks Must Be Crazy
Morty,W-whoa!,2,6,The Ricks Must Be Crazy
Rick,We're gonna go get some ice-cream motherfuckers!,2,6,The Ricks Must Be Crazy
Rick,Oh great.,2,6,The Ricks Must Be Crazy
Morty,"Oh boy. W-what's wrong Rick, is it the quantum carburettor or something?",2,6,The Ricks Must Be Crazy
Rick,"Quantum carburettor? Jesus Morty; you can't just add a sci fi word to a car word and hope it means something. Huh, it looks like something's wrong with the microverse battery - we're going to have to go inside.",2,6,The Ricks Must Be Crazy
Morty,Uhm. Go inside what?,2,6,The Ricks Must Be Crazy
Rick,"The battery Morty. Be right back Summer; stay put, don't touch any buttons, and ignore all random thoughts that feel -- spider-y.",2,6,The Ricks Must Be Crazy
Summer,Wait! You can't leave me here!,2,6,The Ricks Must Be Crazy
Rick,"You'll be fine. Ship, keep Summer safe.",2,6,The Ricks Must Be Crazy
Ship,Keep. Summer. Safe.,2,6,The Ricks Must Be Crazy
Summer,"Egh, wonderful.",2,6,The Ricks Must Be Crazy
Man,"Hey, excuse me, hello?",2,6,The Ricks Must Be Crazy
Summer,Uhmm...,2,6,The Ricks Must Be Crazy
Man,What you think you're better than me? Nobody's better than me! Ey! ey!,2,6,The Ricks Must Be Crazy
Summer,Agh! Aghaaaa!,2,6,The Ricks Must Be Crazy
Ship,Keep. Summer. Safe.,2,6,The Ricks Must Be Crazy
Thinner Man,"Hey man, what the hell! That was my daughter's paediatrician! Uagha!",2,6,The Ricks Must Be Crazy
Summer,"No! Stop, don't kill him!",2,6,The Ricks Must Be Crazy
Ship,Confirmed.,2,6,The Ricks Must Be Crazy
Thinner Man,Uaghuu. Ugh. Uh. Oh God! I can't feel my legs! Help! He-elp!,2,6,The Ricks Must Be Crazy
Ship,Summer is safe.,2,6,The Ricks Must Be Crazy
Summer,I don't feel safe.,2,6,The Ricks Must Be Crazy
Ship,Confirmed.,2,6,The Ricks Must Be Crazy
Thinner Man,Oh God help me! Help me! help me please! You can help me.,2,6,The Ricks Must Be Crazy
Morty,Oh man. Where are we Rick?,2,6,The Ricks Must Be Crazy
Rick,"Morty, remember eight seconds ago when -burp- when you said 'go inside what' and I said 'the battery' and then we showed up here?",2,6,The Ricks Must Be Crazy
Rick,"Morty, remember eight seconds ago when  when you said, ""Go inside what?"" And I said, ""The battery""? And then we showed up here, and I wasn't like, ""Whoa, this is unexpected. This is not what I was expecting, Morty. What a perplexing mystery this is.""",2,6,The Ricks Must Be Crazy
