name,line,season no.,episode no.,episode name
Bachelor,Cynthia...,1,8,Rixty Minutes
Jerry,"Oh, my God! No, no..!",1,8,Rixty Minutes
Summer,I told you!,1,8,Rixty Minutes
Beth,Hold on.,1,8,Rixty Minutes
Bachelor,Will you please... NOT marry me-- I choose Veronica.,1,8,Rixty Minutes
Summer,What?,1,8,Rixty Minutes
Jerry,Yes!,1,8,Rixty Minutes
Beth,Called it.,1,8,Rixty Minutes
Summer,Why would he choose Veronica?,1,8,Rixty Minutes
Jerry,Because he loves her?,1,8,Rixty Minutes
Rick,"Well if it's any consolation, Summer, none of it mattered, and the entire show is stupid.",1,8,Rixty Minutes
Jerry,"Okay, I've got an idea, Rick: you show us your concept of ""good TV"", and we'll crap all over that.",1,8,Rixty Minutes
Rick, I thought you'd never ask.,1,8,Rixty Minutes
Jerry,Hey!,1,8,Rixty Minutes
Morty,"Oh, cool! Is that crystallized Zanthonite? It conducts electrons across dimensions.",1,8,Rixty Minutes
Rick," 20% accurate, as usual,  Morty.  The important thing being I just upgraded our cable package with programming from every conceivable reality.",1,8,Rixty Minutes
Jerry,"Wait, does that mean we get Showtime Extreme?",1,8,Rixty Minutes
Rick,How about Showtime Extreme in a world where man evolved from corn? ,1,8,Rixty Minutes
Corn Man 1,We're not so different. We're both corn of action.,1,8,Rixty Minutes
Corn Man 2,Yeah... But one of us is dead corn! ,1,8,Rixty Minutes
Summer,Bor-ing.,1,8,Rixty Minutes
Rick,"Summer,  you just spent  three months watching a man choose a fake wife.",1,8,Rixty Minutes
Jerry,"So, what, It'd be better if the people were corn?",1,8,Rixty Minutes
Rick,"Jerry, you don't get it. This is infinite TV, from infinite universes. Look. ",1,8,Rixty Minutes
Glenn,This shit is delicious.,1,8,Rixty Minutes
Rick,A movie about a guy eating shit.  A violent Antiques Show... ,1,8,Rixty Minutes
Letterman,It's a pleasure to have you.,1,8,Rixty Minutes
Jerry,The pleasure's all mine.,1,8,Rixty Minutes
Rick,Letterman from a time line where Jerry's famous. ,1,8,Rixty Minutes
Jerry,Wait!,1,8,Rixty Minutes
Beth,What in the hell?,1,8,Rixty Minutes
Rick,I agree. Where's this going?,1,8,Rixty Minutes
Jerry,"No, the other thing! Go back!",1,8,Rixty Minutes
Rick,"Really? All right, fine. ",1,8,Rixty Minutes
Woman,"Glenn, this is a court order. It says you can't eat shit anymore.",1,8,Rixty Minutes
Rick,"All right, Jerry, when you're right, you're right. Now I'm hooked.",1,8,Rixty Minutes
Announcer,"Coming up next on ""Shmloo's the Shmloss"", Shmlony has a nightmare.",1,8,Rixty Minutes
Shmlony,"Shmlantha, Schmlona!",1,8,Rixty Minutes
Rick,"Amazing. A dimension where all proper nouns begin with ""Schmla"".",1,8,Rixty Minutes
Shmlony,"Schmlove, Schmlandula, Schmlonathan--",1,8,Rixty Minutes
Rick,"All right, that got, that actually got old pretty quick.",1,8,Rixty Minutes
Jerry," Rick, would you please go back to me on David Letterman?",1,8,Rixty Minutes
Rick,"Infinity's a big number, Jerry. I don't remember the channel.",1,8,Rixty Minutes
Beth,"Go back, go back!",1,8,Rixty Minutes
Rick,Jeez. ,1,8,Rixty Minutes
Jerry,You speak da tru-tru.,1,8,Rixty Minutes
Summer,"Oh my God! Dad's in ""Cloud Atlas""!",1,8,Rixty Minutes
Jerry,"I'm in ""Cloud Atlas""! What's ""Cloud Atlas""?",1,8,Rixty Minutes
Jerry,Sometimes small tru-tru different than da big tru-tru.,1,8,Rixty Minutes
Beth,How is this possible?,1,8,Rixty Minutes
Rick,"Infinite timelines, infinite possibilities - including a time line where Jerry's a movie star. Look, you guys are getting excited about the wrong aspect of this device. Ju-- Wa-- Look at this. ",1,8,Rixty Minutes
Host in Trenchcoat,"And now, another Quick Mystery.",1,8,Rixty Minutes
Cop,I just want to know who could've done something like this. It's a travesty!,1,8,Rixty Minutes
Killer 1,I did. See this knife and all the blood on it? Here's my fingerprints.,1,8,Rixty Minutes
Judge,Guilty! I sentence you to life in prison.,1,8,Rixty Minutes
Host in Trenchcoat,Here's another Quick Mystery.,1,8,Rixty Minutes
Man,My mother's dead!,1,8,Rixty Minutes
Killer 2,"And I killed her. Here's the weapon. And cuff me, thank you very much.",1,8,Rixty Minutes
