name,line,season no.,episode no.,episode name
Morty,"Summer, next time we're hiding in a Colorkian echo nest, can you do me a favor and turn your ringer off?",3,2,Rickmancing the Stone
Summer,"It's called ""carpe diem"", Morty. Look it up.",3,2,Rickmancing the Stone
Morty,You look it up! Y-Y-You don't even-You don't even know what it means!,3,2,Rickmancing the Stone
Summer,That's because losers look stuff up while the rest of us are carpin' all them diems.,3,2,Rickmancing the Stone
Rick,"Listen to your sister, Morty. To live is to risk it all. Otherwise, you're just an inert chunk of randomly assembled molecules drifting wherever the universe blows you. Oh, I'm sorry, Jerry, I didn't see you there. H-How much of that did you hear?",3,2,Rickmancing the Stone
Jerry,All of it. You were looking right at me. I just wanted to say goodbye to the kids.,3,2,Rickmancing the Stone
Rick,"Cool. Just stay in the driveway. The killbots are live, and I took you off the whitelist.",3,2,Rickmancing the Stone
Morty,"W-We'll see you every other weekend, though, right?",3,2,Rickmancing the Stone
Rick,"Absolutely, Morty. A-And your mom's lawyer says if I can get enough in the settlement, he can help me sue for full custody.",3,2,Rickmancing the Stone
Morty,"Th-That'll be nice. Uh, Summer, Dad's leaving!",3,2,Rickmancing the Stone
Summer,"Bye, Dad. Rick, didn't you say you needed my help on an adventure immediately somewhere else I don't care even if it might kill us?",3,2,Rickmancing the Stone
Rick,"I did not, but if you're really that alienated, I'm as willing to exploit it as the next guy, church, army, or Olympic gymnastics trainer.",3,2,Rickmancing the Stone
Summer,I'm ready when you a--,3,2,Rickmancing the Stone
Rick,"Bitch, I was ready yest--",3,2,Rickmancing the Stone
Jerry,"Bye, sweetie.",3,2,Rickmancing the Stone
Morty,"Well, I-I better--",3,2,Rickmancing the Stone
Jerry,Sure. Sounds important.,3,2,Rickmancing the Stone
Jerry,"If you're looking for our kids, your father did a-a portal, uh--",3,2,Rickmancing the Stone
Beth,Okay.,3,2,Rickmancing the Stone
Wind, Loser...,3,2,Rickmancing the Stone
Jerry,What? Hello?,3,2,Rickmancing the Stone
Rick,"Morty, shoot the mohawk guy!",3,2,Rickmancing the Stone
Morty,They all have mohawks!,3,2,Rickmancing the Stone
Rick,"High fade, chartreuse with cyan highlights, layered on top. Shoot him!",3,2,Rickmancing the Stone
Mohawk Guy,Ah!,3,2,Rickmancing the Stone
Death Stalker #1,Light them up.,3,2,Rickmancing the Stone
Mohawk Guy,Ahh!,3,2,Rickmancing the Stone
Rick,"Fuck! Get in the game, Morty!",3,2,Rickmancing the Stone
Summer,Give me your flask!,3,2,Rickmancing the Stone
Rick,"Holy shit, Summer for the win!",3,2,Rickmancing the Stone
Summer,I fucking love post-apocalyptic versions of Earth!,3,2,Rickmancing the Stone
Rick,Here we go.,3,2,Rickmancing the Stone
Rick,Isotope 322.,3,2,Rickmancing the Stone
Morty,"Uh-huh, yeah, is it powerful enough to keep those guys from murdering us?!",3,2,Rickmancing the Stone
Morty,Summer!,3,2,Rickmancing the Stone
Summer,Hold on. I want to try something.,3,2,Rickmancing the Stone
Morty,"Rick, can we not leave without my sister?!",3,2,Rickmancing the Stone
Rick,"Ugh. You have infinite sisters, Morty. I mean, n-not that I want to spend the rest of my day looking for another one. Sum-sum, let's go! Grandpa's concern for your safety is fleeting!",3,2,Rickmancing the Stone
Colossus,Your blood will be my lotion.,3,2,Rickmancing the Stone
Rick,Whoa. That was cool.,3,2,Rickmancing the Stone
Colossus,"Kill me, please.",3,2,Rickmancing the Stone
Summer,"Okay, but not because you told me to.",3,2,Rickmancing the Stone
Morty,Summer!,3,2,Rickmancing the Stone
Rick,"Okay, getting darker.",3,2,Rickmancing the Stone
Morty,Jesus Christ. Summer!,3,2,Rickmancing the Stone
Rick,"Aw, come on.",3,2,Rickmancing the Stone
Rick,Hands and little shoulder-mounted dudes where I can see them!,3,2,Rickmancing the Stone
Hemorrhage,I am Hemorrhage. You have removed weak blood from us and made us stronger. We can combine our strength and feast on the weak together.,3,2,Rickmancing the Stone
Rick,Wh-Wh-What in the hell are you saying?,3,2,Rickmancing the Stone
Summer,They don't have to keep trying to kill us if we join them. They're basically pussies.,3,2,Rickmancing the Stone
Morty,What is your deal lately?,3,2,Rickmancing the Stone
Rick,"All right, let's get sloppy. Oh, whoa. Uh, uh, what's, uh-What's that little bauble you got back there?",3,2,Rickmancing the Stone
Hemorrhage,"That is our glowing rock. We carry it with us for desecration, to remind us there are no gods.",3,2,Rickmancing the Stone
Rick,"Kids, weird pitch: let's have this be our new life. Let's be post-apocalyptic scavengers!",3,2,Rickmancing the Stone
Summer, Okay.,3,2,Rickmancing the Stone
Morty,What?!,3,2,Rickmancing the Stone
Summer,"Grandpa, some of the Death Stalkers are going to what used to be Seattle to hunt what used to be people. I'm going.",3,2,Rickmancing the Stone
Rick,Sounds good. Stay hydrated.,3,2,Rickmancing the Stone
Morty,"Listen, Rick, Summer's been acting pretty crazy lately. You know, I mean, I-I think the divorce is affecting her. And, you know, I don't think this is a great place for her to be right now.",3,2,Rickmancing the Stone
Rick,"Oh, get off your high horse, Professor Ski Lodge. This world may be rough around the edges, but it's got its charms.",3,2,Rickmancing the Stone
Lunch server,Bicep or quadricep?,3,2,Rickmancing the Stone
Rick,Uh...  bicep.,3,2,Rickmancing the Stone
Morty," Seriously, Rick? Is it really easier to eat human flesh than to just tell me why we're still here?",3,2,Rickmancing the Stone
Rick,"No. Okay, I'll level with you.",3,2,Rickmancing the Stone
Rick,"You see that green rock, Morty? It's about 20 pounds of the stuff I was getting all hard for a flake of.",3,2,Rickmancing the Stone
Morty,Isotope 322.,3,2,Rickmancing the Stone
Rick,"Well, having a 20-pound boulder of it is better than having a flake. I can explain the math to you later, but--",3,2,Rickmancing the Stone
Morty,"Summer just ran off with strangers that have ""Death"" in their name, and the rest of their name was ""Stalkers""!",3,2,Rickmancing the Stone
Rick,"Huh, could be therapeutic for her. She has been acting pretty crazy lately, Morty. I mean, her parents are going through a divorce.",3,2,Rickmancing the Stone
Morty,"Damn it, Rick, that's what I-- Fine. Just grab the stupid thing while I grab her, and let's get the ""F"" out of ""H""!",3,2,Rickmancing the Stone
Rick,"No, no, no. Morty, there's too much heat on the bogey. I need you to distract the camp.",3,2,Rickmancing the Stone
Morty,"""Distract""? They eat each other. Wha-What do you want me to do to get their attention, put on a puppet show?",3,2,Rickmancing the Stone
Rick,"Right idea, wrong genre, Morty. The equivalent here would be...",3,2,Rickmancing the Stone
Death Stalker #2,"Uh, you mean the Blood Dome?",3,2,Rickmancing the Stone
Rick,"Save it for the Semantics Dome, E.B. White.",3,2,Rickmancing the Stone
Death Stalker #3," Ooh, burn!",3,2,Rickmancing the Stone
Rick,"The important question is, who wants to take a poke at my man Spine Eater here?",3,2,Rickmancing the Stone
Morty,"Rick, what the hell, man?! Wh-What are you, out of your mind?!",3,2,Rickmancing the Stone
Rick,"Morty, relax. You're gonna be a ringer. Come here.",3,2,Rickmancing the Stone
Rick,Ugh! Hey!,3,2,Rickmancing the Stone
Morty,I-I didn't do that!,3,2,Rickmancing the Stone
Rick,"Okay, this is exciting. We're making some discoveries about muscle memory.",3,2,Rickmancing the Stone
Morty,Ooh! Help! Help!,3,2,Rickmancing the Stone
Death Stalker #4,"Oh, sweet, man!",3,2,Rickmancing the Stone
Eli,"And so it begins, my pretties!",3,2,Rickmancing the Stone
Morty,"Oh, God! Stop! Stop! This is horrible!",3,2,Rickmancing the Stone
Rick,"Just stick and moo--oove, Morty! Wear him out!",3,2,Rickmancing the Stone
Summer,"How come you guys dress like you're in a theme-park stunt show, but these guys wear khakis and hockey jerseys?",3,2,Rickmancing the Stone
Hemorrhage,"After the ""boom-boom"", some adapted to the new truth, and some chose to huddle near the boomy holes, clinging to the lie of the beforefore times. The raidy-rays rotted them away, leaving only their love for the vertvertisements on billyboards.",3,2,Rickmancing the Stone
Summer,"Jesus Christ, did the ""boomy-booms"" blow up all your ""wordy-word books""?",3,2,Rickmancing the Stone
Hemorrhage,You mean dictionaries?,3,2,Rickmancing the Stone
Hemorrhage,I think I was a child before the boom-booms. I think I looked like this.,3,2,Rickmancing the Stone
Summer,Want to piss on it?,3,2,Rickmancing the Stone
Hemorrhage,Get out of my head.,3,2,Rickmancing the Stone
Eli,Ha ha! Whoo! Unbelievable! A new champ!,3,2,Rickmancing the Stone
Morty,"Okay, no more!",3,2,Rickmancing the Stone
Eli,And he wants more!,3,2,Rickmancing the Stone
Morty,"No, I don't!",3,2,Rickmancing the Stone
Morty,"Someone, make this stop!",3,2,Rickmancing the Stone
Summer,Morty.,3,2,Rickmancing the Stone
Morty," Why would you want this to happen? All you had to do was go away! Stop standing in the driveway talking about custody! And either tell her you want to stay married or get on with your life, but whatever you do, stop being a baby and act like a man!",3,2,Rickmancing the Stone
Summer,"Morty, that was amazing! This is my brother! Not that family means anything! Hemorrhage: This family does.",3,2,Rickmancing the Stone
Rick,"All right. Good job, champ. Um, can I talk to you kids for a second over yonder?",3,2,Rickmancing the Stone
Morty,"Rick, I-I-I think I'm breaking through to something here. C-Can we not leave just yet?",3,2,Rickmancing the Stone
Hemorrhage,Leave?,3,2,Rickmancing the Stone
Summer,I'm not leaving.,3,2,Rickmancing the Stone
Hemorrhage,"There is no ""leave"". We are united, or we are enemies.",3,2,Rickmancing the Stone
Rick,"Oh, big guy, no. Nobody's leaving. Don't be stupid. We love being united. We love the radiation, the trichinosis. We're in it for life, which I assume is around 20 years, average. I just need a quick aside with my grandkids, about 40 yards from anyone else.",3,2,Rickmancing the Stone
Death Stalker #5,"Hey, the Green Rock is gone!",3,2,Rickmancing the Stone
Death Stalker #6," Oh, no!",3,2,Rickmancing the Stone
Rick,"Uh, I know why don't we all split up and look for it in groups of three? Kids?",3,2,Rickmancing the Stone
Summer,"Grandpa, you're being stupid! Just surrender, and our friends will give you mercy!",3,2,Rickmancing the Stone
Rick,"Kiss my ass, Summer! Your friends have no mercy!",3,2,Rickmancing the Stone
Hemorrhage,"Death Stalkers, bring me his flesh leather!",3,2,Rickmancing the Stone
Morty,"Sorry, but can we not kill him? C-Can we just take him prisoner?",3,2,Rickmancing the Stone
Hemorrhage,When did I lose control here?,3,2,Rickmancing the Stone
Rick,"Listen to me! Both of you kids need to get out of this environment so we can properly deal with your parents' divorce! Alternatively, I have a freaking portal gun, and I can leave the two of you here forever!",3,2,Rickmancing the Stone
Morty,Why does it have to be such a dramatic choice? Can't we arrange a thing where we spend weekends here or or visit home to do laundry?,3,2,Rickmancing the Stone
Rick,"All right, you know what? Fuck it!",3,2,Rickmancing the Stone
Blue Footprint Guy,My body is chrome! My blood is gasoline!,3,2,Rickmancing the Stone
Rick,"Nope, regular blood.",3,2,Rickmancing the Stone
Beth,Dad?,3,2,Rickmancing the Stone
Rick,"Hi, sweetie.",3,2,Rickmancing the Stone
Beth,Where are the kids?,3,2,Rickmancing the Stone
