name,line,season no.,episode no.,episode name
Beth,"So dad, guess what tomorrow is...",1,10,Close Rick-counters of the Rick Kind
Rick,Martin Luther King Jr.'s birthday.,1,10,Close Rick-counters of the Rick Kind
Beth,"No... well, it might be...",1,10,Close Rick-counters of the Rick Kind
Rick,It is.,1,10,Close Rick-counters of the Rick Kind
Beth,"Fine, but also, tomorrow is your one year anniversary back in our lives. I'm gonna make you flying saucer-shaped pancakes.",1,10,Close Rick-counters of the Rick Kind
Rick,"Oh, there's no need to do that, Beth. Regular pancakes are fine.",1,10,Close Rick-counters of the Rick Kind
Beth,"Happy anniversary, dad!",1,10,Close Rick-counters of the Rick Kind
Rick,"Oh, I get it. Regular pancakes are already shaped like flying saucers.  Mmm, I should be making you breakfast for putting up with me.",1,10,Close Rick-counters of the Rick Kind
Jerry,Should be making us a whole restaurant.,1,10,Close Rick-counters of the Rick Kind
Beth,"Nonsense, we couldn’t be happier to have you around. I just wish I got to see more of you.",1,10,Close Rick-counters of the Rick Kind
Rick 1,Rick Sanchez of Earth dimension C-137. You are under arrest for crimes against alternate Ricks by the authority of the transdimensional council of Ricks.,1,10,Close Rick-counters of the Rick Kind
Jerry,Hey! What the heck?,1,10,Close Rick-counters of the Rick Kind
Rick 1,Neutralise the Jerry.,1,10,Close Rick-counters of the Rick Kind
Jerry,"Wait, no!",1,10,Close Rick-counters of the Rick Kind
Summer,Dad!,1,10,Close Rick-counters of the Rick Kind
Beth,Dad!,1,10,Close Rick-counters of the Rick Kind
Morty,Rick!,1,10,Close Rick-counters of the Rick Kind
Rick,"Everybody relax. If I know these a-holes, and I am these a-holes, they just wanna haul me to their stupid clubhouse and waste my time with a bunch of questions. Let’s get it over with.",1,10,Close Rick-counters of the Rick Kind
Rick 1,Bring his mo--orty.,1,10,Close Rick-counters of the Rick Kind
Morty,"Oh, man.",1,10,Close Rick-counters of the Rick Kind
Rick,Leave my  Morty out of this!,1,10,Close Rick-counters of the Rick Kind
Rick 1,You lost the right to have a say in these things when you refused to join  the council.,1,10,Close Rick-counters of the Rick Kind
Beth,"Wait, wh-wh-wh-what about Jerry?",1,10,Close Rick-counters of the Rick Kind
Rick,Will you at least unfreeze my daughter’s idiot?,1,10,Close Rick-counters of the Rick Kind
