name,line,season no.,episode no.,episode name
Morty,"Hey Rick, I have to make a project for the science fair this weekend. You think you could help me out?",1,9,Something Ricked This Way Comes
Rick,Whatever.,1,9,Something Ricked This Way Comes
Jerry,"Well, um, traditionally science fairs are a father-son thing.",1,9,Something Ricked This Way Comes
Rick,"Well, scientifically, traditions are an idiot thing.",1,9,Something Ricked This Way Comes
Beth," Morty, I think it will be fun for you to work on a science project with your dad.",1,9,Something Ricked This Way Comes
Morty," Yeah, dad, why don’t we do it together?",1,9,Something Ricked This Way Comes
Jerry,"Yes! You backed the right horse on this one, son! We’ll get out the crayons, brew some coffee and knock this thing out in two or three days.",1,9,Something Ricked This Way Comes
Butter robot,What is my purpose?,1,9,Something Ricked This Way Comes
Rick,Pass the butter.,1,9,Something Ricked This Way Comes
Rick,Thank you.,1,9,Something Ricked This Way Comes
Morty,,1,9,Something Ricked This Way Comes
Summer,"Dad, I need a ride to work.",1,9,Something Ricked This Way Comes
Jerry,Maybe Rick can give you a ride. I’m helping Morty with science.,1,9,Something Ricked This Way Comes
Rick,I’m busy.,1,9,Something Ricked This Way Comes
Summer,Doing what?,1,9,Something Ricked This Way Comes
Rick,"Uh, anything else?",1,9,Something Ricked This Way Comes
Butter robot,What is my purpose?,1,9,Something Ricked This Way Comes
Rick,You pass butter.,1,9,Something Ricked This Way Comes
Butter robot, Oh my god.,1,9,Something Ricked This Way Comes
Rick,"Yeah, welcome to the club, pal.",1,9,Something Ricked This Way Comes
Rick,Since when did you have a job?,1,9,Something Ricked This Way Comes
Summer,Since last week. It’s part time at this little vintage thrift store. My boss is this really smart eccentric old man that treats me nice and values me.,1,9,Something Ricked This Way Comes
Rick,"Wee-ow, can’t wait to meet this fascinating character.",1,9,Something Ricked This Way Comes
Summer,Please don’t.,1,9,Something Ricked This Way Comes
Goldenfold,Oh… when did this stop being jamba juice?,1,9,Something Ricked This Way Comes
Needful,"I’ve just recently opened for business, Mr, um, Goldenfold.",1,9,Something Ricked This Way Comes
Goldenfold,You know my name? That’s disarming.,1,9,Something Ricked This Way Comes
Needful,I also know you long for female company.,1,9,Something Ricked This Way Comes
Goldenfold,"You know, it has been lonely since the divorce. Some voids can’t be filled with jamba juice.",1,9,Something Ricked This Way Comes
